Sunrise, 1
Madhouse, 6
Toei Animation, 8
J.C.Staff, 16
A.C.G.T., 18
Studio Pierrot, 20
Trans Arts, 22
Studio Comet, 24
Madhouse, 26
Sunrise, 28
Gainax, 30
Tatsunoko Production, 30
Gainax, 32
Production I.G, 32
Studio Deen, 44
Studio Gallop, 46
Bee Train, 48
AIC, 50
Bones, 52
Digital Frontier, 54
Bee Train, 56
Xebec, 56
AIC, 58
Gonzo, 60
feel., 62
Zexcs, 62
Nomad, 64
J.C.Staff, 66
Gonzo, 68
Kyoto Animation, 72
