60, Chrno Crusade, TV, Manga, 24, 2003-11-25, 23 min. per ep., R - 17+ (violence & profanity), 7.76, 963, 78834, 485, 165658, 1913, 4, "Action, Historical, Demons, Supernatural, Romance, ", 6591, 101013, 8740, 8123, 41191, 165658
62, D.C.: Da Capo, TV, Visual novel, 26, 2003-07-05, 24 min. per ep., PG-13 - Teens 13 or older, 6.87, 4026, 24076, 1408, 56620, 183, 9, "Harem, Drama, Magic, Romance, ", 2306, 31621, 2513, 3323, 16857, 56620
64, Rozen Maiden, TV, Manga, 12, 2004-10-08, 24 min. per ep., PG-13 - Teens 13 or older, 7.53, 1568, 74342, 555, 148382, 1896, 8, "Action, Comedy, Drama, Magic, Seinen, ", 4407, 97698, 5294, 6609, 34374, 148382
66, Azumanga Daioh, TV, 4-koma manga, 26, 2002-04-09, 24 min. per ep., PG-13 - Teens 13 or older, 8.04, 502, 97404, 370, 203690, 4368, 5, "Slice of Life, Comedy, School, ", 9907, 117493, 13577, 10790, 51923, 203690
68, Black Cat, TV, Manga, 23, 2005-10-07, 24 min. per ep., PG-13 - Teens 13 or older, 7.49, 1658, 89297, 432, 182212, 1703, 4, "Adventure, Comedy, Sci-Fi, Shounen, Super Power, ", 7946, 114811, 9884, 8413, 41158, 182212
72, Full Metal Panic? Fumoffu, TV, Light novel, 12, 2003-08-26, 24 min. per ep., PG-13 - Teens 13 or older, 8.15, 370, 127624, 365, 204627, 2670, 6, "Action, Comedy, School, ", 3861, 167700, 3571, 2650, 26845, 204627
74, Gakuen Alice, TV, Manga, 26, 2004-10-30, 25 min. per ep., G - All Ages, 7.77, 942, 33274, 1294, 63040, 1405, 2, "Comedy, School, Shoujo, Super Power, ", 1904, 44259, 2395, 2351, 12131, 63040
76, Mahou Shoujo Lyrical Nanoha, TV, Original, 13, 2004-10-03, 25 min. per ep., PG-13 - Teens 13 or older, 7.49, 1669, 31549, 1130, 73539, 932, 9, "Action, Comedy, Drama, Magic, Super Power, ", 2556, 40911, 2494, 2166, 25412, 73539
80, Mobile Suit Gundam, TV, Original, 43, 1979-04-07, 25 min. per ep., PG-13 - Teens 13 or older, 7.87, 761, 29389, 1217, 67143, 1346, 50, "Action, Space, Mecha, Military, Sci-Fi, ", 4950, 37372, 4093, 2191, 18537, 67143
82, Mobile Suit Gundam 0080: War in the Pocket, OVA, Original, 6, 1989-03-25, 27 min. per ep., PG-13 - Teens 13 or older, 7.87, 762, 16281, 2126, 29737, 455, 8, "Military, Sci-Fi, Space, Drama, Mecha, ", 584, 21006, 445, 256, 7446, 29737
84, Mobile Suit Gundam 0083: Stardust Memory, OVA, Original, 13, 1991-05-23, 30 min. per ep., PG-13 - Teens 13 or older, 7.42, 1942, 14183, 2364, 25007, 185, 12, "Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha, ", 632, 18408, 571, 314, 5082, 25007
86, Mobile Suit Gundam ZZ, TV, Original, 47, 1986-03-01, 24 min. per ep., PG-13 - Teens 13 or older, 6.76, 4509, 10165, 2546, 21917, 73, 12, "Space, Comedy, Mecha, Military, Drama, Sci-Fi, ", 1116, 12976, 1071, 641, 6113, 21917
88, Mobile Suit Gundam F91, Movie, Unknown, 1, 1991-03-16, 2 hr., PG-13 - Teens 13 or older, 6.82, 4244, 9153, 2928, 16672, 38, 8, "Military, Sci-Fi, Space, Drama, Mecha, ", 211, 12100, 168, 119, 4074, 16672
90, Mobile Suit Gundam Wing, TV, Original, 49, 1995-04-07, 24 min. per ep., PG-13 - Teens 13 or older, 7.84, 815, 59967, 848, 103052, 2223, 12, "Action, Military, Sci-Fi, Space, Drama, Mecha, ", 4007, 76858, 4726, 3393, 14068, 103052
